id,title,category,subcategory,platform,organizer_name,organizer_type,beneficiary,location_city,location_state,funds_required,funds_raised,funding_percentage,campaign_start_date,campaign_age_days,is_fraudulent,fraud_score,risk_level,verification_status,features
cf7c6f5e-355b-442e-8ea6-939042d73f9f,Digital Literacy Initiative for Community,Technology,Digital Literacy,ImpactGuru,Delhi Public Service Society,organization,Digital Literacy beneficiaries,Nagpur,Nagaland,753435,544361,72.25,2024-10-21,288,False,0.0,low,verified,"{'category': 'Technology', 'subcategory': 'Digital Literacy', 'platform': 'ImpactGuru', 'campaign_age_days': 288, 'funding_percentage': 72.25062560510719, 'funds_required': 753435, 'funds_raised': 544361, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': True, 'has_social_media_presence': True, 'has_website': True, 'has_media_coverage': True, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
d5b71103-a3c3-44c0-b9a7-be556cd6c1e9,Support Chronic Disease for Family Member,Medical,Chronic Disease,ImpactGuru,Faridabad Medical Relief Society,organization,Chronic Disease beneficiaries,Nagpur,Tripura,1407757,645109,45.83,2025-03-31,127,False,0.0,low,pending,"{'category': 'Medical', 'subcategory': 'Chronic Disease', 'platform': 'ImpactGuru', 'campaign_age_days': 127, 'funding_percentage': 45.82533737535906, 'funds_required': 1407757, 'funds_raised': 645109, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': True, 'has_social_media_presence': True, 'has_website': False, 'has_media_coverage': False, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
a42e7938-d942-4223-b4f6-8378a70ae7fc,Infrastructure Initiative for Rural Area,Community Development,Infrastructure,ImpactGuru,Gwalior Community Development Trust,organization,Infrastructure beneficiaries,Pune,Andhra Pradesh,248440,201835,81.24,2025-06-05,61,False,0.0,low,verified,"{'category': 'Community Development', 'subcategory': 'Infrastructure', 'platform': 'ImpactGuru', 'campaign_age_days': 61, 'funding_percentage': 81.24114078860741, 'funds_required': 248440, 'funds_raised': 201835, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': False, 'has_social_media_presence': True, 'has_website': True, 'has_media_coverage': True, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
6d3694b8-d4f0-4524-80b2-556114804919,Digital Learning Support for Underprivileged Children,Education,Digital Learning,Milaap,Patna Knowledge Mission,organization,Digital Learning beneficiaries,Vasai-Virar,Madhya Pradesh,112858,82541,73.14,2025-02-05,181,False,0.0,low,verified,"{'category': 'Education', 'subcategory': 'Digital Learning', 'platform': 'Milaap', 'campaign_age_days': 181, 'funding_percentage': 73.13768931411178, 'funds_required': 112858, 'funds_raised': 82541, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': False, 'has_social_media_presence': False, 'has_website': True, 'has_media_coverage': True, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
bac829df-3df3-4c08-838f-d1662020fbae,Infrastructure Initiative for Community,Community Development,Infrastructure,ImpactGuru,Dhanbad Public Service Society,organization,Infrastructure beneficiaries,Surat,Bihar,1962735,951316,48.47,2025-04-29,98,False,0.0,low,verified,"{'category': 'Community Development', 'subcategory': 'Infrastructure', 'platform': 'ImpactGuru', 'campaign_age_days': 98, 'funding_percentage': 48.46893121307737, 'funds_required': 1962735, 'funds_raised': 951316, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': False, 'has_social_media_presence': False, 'has_website': False, 'has_media_coverage': False, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
d55c4cbb-f1dc-413a-a16e-1b5dc098cf11,Digital Learning Support for Government School,Education,Digital Learning,INDIAdonates,Patna Student Welfare Society,organization,Digital Learning beneficiaries,Hyderabad,Chhattisgarh,891415,227326,25.5,2025-04-06,121,False,0.0,low,verified,"{'category': 'Education', 'subcategory': 'Digital Learning', 'platform': 'INDIAdonates', 'campaign_age_days': 121, 'funding_percentage': 25.501718889781184, 'funds_required': 891415, 'funds_raised': 227326, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': True, 'has_social_media_presence': True, 'has_website': False, 'has_media_coverage': True, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
bd7e27fa-da4d-4704-b88e-accafd170356,Critical Support Needed for Renewable Energy,Environment,Renewable Energy,Ketto,International Foundation,individual,Renewable Energy beneficiaries,Agra,Odisha,387301,28047,7.24,2024-12-21,227,True,1.0,high,pending,"{'category': 'Environment', 'subcategory': 'Renewable Energy', 'platform': 'Ketto', 'campaign_age_days': 227, 'funding_percentage': 7.241824330381843, 'funds_required': 387301, 'funds_raised': 28047, 'is_fraudulent': True, 'has_government_verification': False, 'has_complete_documentation': False, 'has_clear_beneficiary': False, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': False, 'has_social_media_presence': False, 'has_website': False, 'has_media_coverage': False, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': True, 'minimal_updates': True, 'unclear_fund_usage': True, 'no_previous_campaigns': False}"
bc7fce84-da78-42f9-b472-268e2ade015d,Support Emergency Surgery for Family Member,Medical,Emergency Surgery,INDIAdonates,Surat Medical Relief Society,individual,Emergency Surgery beneficiaries,Vasai-Virar,Telangana,1838932,774706,42.13,2024-08-12,358,False,0.0,low,verified,"{'category': 'Medical', 'subcategory': 'Emergency Surgery', 'platform': 'INDIAdonates', 'campaign_age_days': 358, 'funding_percentage': 42.128062310949446, 'funds_required': 1838932, 'funds_raised': 774706, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': True, 'has_social_media_presence': True, 'has_website': False, 'has_media_coverage': True, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
0e13f698-7c3a-4d50-8cc3-c0079549be6b,Support Accident Recovery for Young Patient,Medical,Accident Recovery,Milaap,Mumbai Healthcare Trust,individual,Accident Recovery beneficiaries,Dhanbad,Haryana,1560826,1396057,89.44,2025-03-09,149,False,0.0,low,verified,"{'category': 'Medical', 'subcategory': 'Accident Recovery', 'platform': 'Milaap', 'campaign_age_days': 149, 'funding_percentage': 89.4434774121577, 'funds_required': 1560826, 'funds_raised': 1396057, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': False, 'has_social_media_presence': True, 'has_website': False, 'has_media_coverage': True, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
bcf890f0-988d-4116-9a7e-49bd04b5284a,Earthquake Recovery Initiative for Rural Area,Disaster Relief,Earthquake Recovery,Ketto,Nashik Social Welfare Foundation,organization,Earthquake Recovery beneficiaries,Visakhapatnam,Karnataka,3092187,2745184,88.78,2025-07-24,12,False,0.0,low,verified,"{'category': 'Disaster Relief', 'subcategory': 'Earthquake Recovery', 'platform': 'Ketto', 'campaign_age_days': 12, 'funding_percentage': 88.77809634475481, 'funds_required': 3092187, 'funds_raised': 2745184, 'is_fraudulent': False, 'has_government_verification': True, 'has_complete_documentation': True, 'has_clear_beneficiary': True, 'has_contact_info': True, 'has_medical_verification': True, 'has_regular_updates': True, 'has_social_media_presence': False, 'has_website': False, 'has_media_coverage': False, 'is_new_organization': False, 'has_unrealistic_goal': False, 'has_duplicate_content': False, 'limited_social_proof': False, 'minimal_updates': False, 'unclear_fund_usage': False, 'no_previous_campaigns': False}"
